,content,text_only,text_len,type,source_identifier,file_name
22,"The pre-outburst SDSS spectra of the galaxy nucleus have placed it in the locus of star-forming region in the Baldwin-Phillips-Terlevich (BPT) diagram based on its narrow-line ratios (see Figure 9 in \citet{J1335+0728}). It was reported in the MPA-JHU catalogue with a $\rm log$\mbh\ of $ 6.17\pm0.51$, derived from the $M$–$\sigma$ relation of \citet{M-sigma}. We collected multi-band photometry of the host galaxy from several archival surveys, including GALEX, SDSS, Two Micron All-Sky Survey (2MASS), and the Wide-field Infrared Survey Explorer (WISE). We used the Python package Code Investigating GALaxy Emission (CIGALE; \citealt{CIGALE}) to model the SED of the host galaxy. CIGALE can fit the SED of a galaxy from far-UV to radio and estimate its physical properties through the analysis of likelihood distributions, taking into account the contribution of an AGN component. We assumed a delayed star formation history with an optional exponential burst, adopting the single stellar population models of \citet{BC03}. Dust attenuation was described by the \citet{Calzetti2000} law, while dust emission was included following the prescriptions of \citet{Dale2014}. The contribution from an active galactic nucleus (AGN) was incorporated using the models of \citet{Stalevski2012,Stalevski2016}. Our best-fit model yields a reduced $\chi^2$ of 2.0. In our fitting, we employed the CIGALE to predict the fluxes and uncertainties in the {\it Swift}/UVOT filters using its Bayesian analysis, which were used to subtract the host-galaxy contribution. The stellar mass of the galaxy is $10^{10.02\pm0.13}\,$\msun\ and the star formation rate (SFR) is $\rm log\mathrm{SFR} = 0.42\pm0.41$. Using the empirical relation between \mbh\ and the total galaxy stellar mass in the local universe \citep{Reines2015}, we estimate a \mbh\ of $10^{6.42\pm0.57}M_{\odot}$. Additionally, there is no contribution of AGN ($f_{\rm AGN}=0$) in our fit and gives an upper limit luminosity of the AGN component of $\rm 6\times10^{41}erg\,s^{-1}$, which is consistent with the conclusion that no AGN variability in the last $\sim$2 decades from \citet{J1335+0728}.
","The pre-outburst SDSS spectra of the galaxy nucleus have placed it in the locus of star-forming region in the Baldwin-Phillips-Terlevich (BPT) diagram based on its narrow-line ratios (see Figure 9 in ). It was reported in the MPA-JHU catalogue with a \ of , derived from the – relation of . We collected multi-band photometry of the host galaxy from several archival surveys, including GALEX, SDSS, Two Micron All-Sky Survey (2MASS), and the Wide-field Infrared Survey Explorer (WISE). We used the Python package Code Investigating GALaxy Emission (CIGALE; ) to model the SED of the host galaxy. CIGALE can fit the SED of a galaxy from far-UV to radio and estimate its physical properties through the analysis of likelihood distributions, taking into account the contribution of an AGN component. We assumed a delayed star formation history with an optional exponential burst, adopting the single stellar population models of . Dust attenuation was described by the law, while dust emission was included following the prescriptions of . The contribution from an active galactic nucleus (AGN) was incorporated using the models of . Our best-fit model yields a reduced of 2.0. In our fitting, we employed the CIGALE to predict the fluxes and uncertainties in the { Swift}/UVOT filters using its Bayesian analysis, which were used to subtract the host-galaxy contribution. The stellar mass of the galaxy is \ and the star formation rate (SFR) is . Using the empirical relation between \ and the total galaxy stellar mass in the local universe , we estimate a \ of . Additionally, there is no contribution of AGN () in our fit and gives an upper limit luminosity of the AGN component of , which is consistent with the conclusion that no AGN variability in the last 2 decades from .",1777,text,Source_22,2510.22211v1
23,"\begin{figure}
\centering
\begin{minipage}{0.5\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{bbfit.pdf}}
\end{minipage}
\caption{The evolution of blackbody temperature, radius and luminosity of Ansky form top to bottom, respectively. Note that black circles denote fits constrained by UV photometry, while blue circles indicate fits without real UV constraints. The red line represents a power-law decay fit with an index of $-0.51$.
\label{bbfit}}
\end{figure}","\begin{figure}
\centering
\begin{minipage}{0.5\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{bbfit.pdf}}
\end{minipage}
\caption{The evolution of blackbody temperature, radius and luminosity of Ansky form top to bottom, respectively. Note that black circles denote fits constrained by UV photometry, while blue circles indicate fits without real UV constraints. The red line represents a power-law decay fit with an index of $-0.51$.
\label{bbfit}}
\end{figure}",481,text,Source_23,2510.22211v1
24,"\begin{figure*}
\centering
\begin{minipage}{1\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{cartoon.png}}
\end{minipage}
\caption{Schematic illustration of a featureless TDE occurring in the special environment of SDSSJ1335+0728.
\label{cartoon}}
\end{figure*}","\begin{figure*}
\centering
\begin{minipage}{1\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{cartoon.png}}
\end{minipage}
\caption{Schematic illustration of a featureless TDE occurring in the special environment of SDSSJ1335+0728.
\label{cartoon}}
\end{figure*}",280,text,Source_24,2510.22211v1
25,"\begin{figure*}
\centering
\begin{minipage}{1\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{spec_compare.pdf}}
\end{minipage}
\caption{Comparison of the UV spectra of Ansky with those of other featureless TDEs (AT2022gri and AT2021ehb; \citealt{AT2021ehb}). Also shown for comparison are the UV spectra of the prototype QPE source GSN069~\citep{Miniutti2019,Sheng2021}, which is also likely a TDE; the SDSS quasar composite spectrum~\citep{QSO}; and a representative weak-emission-line quasar (SDSSJ090843.25+285229.8; \citealt{Paul2022}).
The fluxes of AT2021ehb and GSN069 are scaled by the coefficients of 0.4 and 0.3, respectively.
\label{spec_compare}}
\end{figure*}","\begin{figure*}
\centering
\begin{minipage}{1\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{spec_compare.pdf}}
\end{minipage}
\caption{Comparison of the UV spectra of Ansky with those of other featureless TDEs (AT2022gri and AT2021ehb; \citealt{AT2021ehb}). Also shown for comparison are the UV spectra of the prototype QPE source GSN069~\citep{Miniutti2019,Sheng2021}, which is also likely a TDE; the SDSS quasar composite spectrum~\citep{QSO}; and a representative weak-emission-line quasar (SDSSJ090843.25+285229.8; \citealt{Paul2022}).
The fluxes of AT2021ehb and GSN069 are scaled by the coefficients of 0.4 and 0.3, respectively.
\label{spec_compare}}
\end{figure*}",691,text,Source_25,2510.22211v1
26,"\begin{figure}
\centering
\begin{minipage}{0.5\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{LCs_compare.pdf}}
\end{minipage}
\caption{Top panel: Rising timescale ($t_{1/2,\rm rise}$) versus black hole mass (\mbh). Bottom panel: Peak blackbody luminosity ($L_{\rm BB}$) versus black hole mass (\mbh). We compare Ansky (red dot) and AT2022gri (gold dot) with other optical TDEs (blue dots) from \citet{Yao2023}, with the featureless subclass indicated by black dots.
\label{LCs_compare}}
\end{figure}","\begin{figure}
\centering
\begin{minipage}{0.5\textwidth}
\centering{\includegraphics[angle=0,width=1\textwidth]{LCs_compare.pdf}}
\end{minipage}
\caption{Top panel: Rising timescale ($t_{1/2,\rm rise}$) versus black hole mass (\mbh). Bottom panel: Peak blackbody luminosity ($L_{\rm BB}$) versus black hole mass (\mbh). We compare Ansky (red dot) and AT2022gri (gold dot) with other optical TDEs (blue dots) from \citet{Yao2023}, with the featureless subclass indicated by black dots.
\label{LCs_compare}}
\end{figure}",519,text,Source_26,2510.22211v1
27,"Before we begin detailed discussions, we will first summarize the main properties of Ansky as follows.
","Before we begin detailed discussions, we will first summarize the main properties of Ansky as follows.",102,text,Source_27,2510.22211v1
28,"\begin{enumerate} 
\item[$\bullet$] Our HST UV spectrum reveals a featureless continuum that is best described by a blackbody model with a $T_{\rm BB} \sim 38,000$K, showing no detectable emission lines even six years after the outburst. Together with the optical spectra taken by us and those from~\citet{J1335+0728}, these multi-epoch observations demonstrate that Ansky has never developed broad emission lines in either the optical or UV spectra throughout its observed history.
","Our HST UV spectrum reveals a featureless continuum that is best described by a blackbody model with a K, showing no detectable emission lines even six years after the outburst. Together with the optical spectra taken by us and those from~, these multi-epoch observations demonstrate that Ansky has never developed broad emission lines in either the optical or UV spectra throughout its observed history.",404,text,Source_28,2510.22211v1
29,"\item[$\bullet$] The peak blackbody luminosity $L_{\rm bb}=(2.1\pm1.0) \times 10^{43}$\,erg\,s$^{-1}$ is at the lower end of all optical TDEs \citep{Yao2023}, although its absolute magnitude in the $g$ band ($M_{g}=-17$) is the lowest. The blackbody temperature remains above 20,000\,K throughout the observed period.
","The peak blackbody luminosity \,erg\,s is at the lower end of all optical TDEs , although its absolute magnitude in the band () is the lowest. The blackbody temperature remains above 20,000\,K throughout the observed period.",224,text,Source_29,2510.22211v1
30,"\item[$\bullet$] Delayed soft X-ray emission was detected with QPEs. The X-ray spectra remain super-soft and can be well described by a blackbody even in the quiescent state ($\rm kT\sim50-100\,eV$, \citealt{Hernandez-Garcia2025}).
","Delayed soft X-ray emission was detected with QPEs. The X-ray spectra remain super-soft and can be well described by a blackbody even in the quiescent state (, ).",162,text,Source_30,2510.22211v1
31,"\item[$\bullet$] The timescale of Ansky's light curves is very long. We calculated that the $t_{1/2,\rm rise}$ is nearly 128 days and the $t_{1/2,\rm decline}$ is nearly 1550 days. However, Ansky continues to fade, following a slow power-law decline.
","The timescale of Ansky's light curves is very long. We calculated that the is nearly 128 days and the is nearly 1550 days. However, Ansky continues to fade, following a slow power-law decline.",192,text,Source_31,2510.22211v1
32,"\end{enumerate}
",\end{enumerate},15,text,Source_32,2510.22211v1
33,"All of the multi-wavelength characteristics of Ansky are difficult to reconcile with a turn-on AGN scenario. The most challenging feature to explain is the persistent absence of broad emission lines, which is a defining signature of turn-on AGNs~\citep{Gezari2017,Yan2019}. It is particularly puzzling that no gas appears to be present at the typical broad-line region (BLR) scale, while substantial gas exists both in the inner accretion disk, as evidenced by the outburst continuum, and at larger scales traced by the strong delayed \oiii\ emission (Section~\ref{spec}). This suggests an apparent gas gap precisely at BLR scales (see a cartoon in Figure~\ref{cartoon}).
","All of the multi-wavelength characteristics of Ansky are difficult to reconcile with a turn-on AGN scenario. The most challenging feature to explain is the persistent absence of broad emission lines, which is a defining signature of turn-on AGNs~. It is particularly puzzling that no gas appears to be present at the typical broad-line region (BLR) scale, while substantial gas exists both in the inner accretion disk, as evidenced by the outburst continuum, and at larger scales traced by the strong delayed \ emission (Section~). This suggests an apparent gas gap precisely at BLR scales (see a cartoon in Figure~).",617,text,Source_33,2510.22211v1
34,"It is worth noting that there is a rare subclass of AGNs generally found at high redshifts ($z\gtrsim1.5$), known as weak-emission-line quasars (WLQs; \citealt{McDowell1995,Fan1999}), which are characterized by the absence of strong broad emission lines in their optical (rest-frame UV) spectra. However, a weak \mgii$\lambda$2799  emission line is commonly detectable in WLQs~\citep{Paul2022} (see an example in Figure~\ref{spec_compare}), which is still absent in Ansky. In addition, near-infrared (rest-frame optical) spectroscopy of WLQs reveals that their \hb\ lines are not significantly weaker than those of typical quasars~\citep{chen2024}, in contrast to those of Ansky. Furthermore, \citet{Ni2018} summarized the X-ray properties of 32 WLQs and found that they typically possess a hard power-law effective photon index ($\rm \Gamma_{eff} \sim 1.2$), as measured from the X-ray stacking spectrum of 14 WLQs. Therefore, WLQs are also highly inconsistent with Ansky in terms of their X-ray and rest-frame UV-to-optical spectral properties.
","It is worth noting that there is a rare subclass of AGNs generally found at high redshifts (), known as weak-emission-line quasars (WLQs; ), which are characterized by the absence of strong broad emission lines in their optical (rest-frame UV) spectra. However, a weak 2799 emission line is commonly detectable in WLQs~ (see an example in Figure~), which is still absent in Ansky. In addition, near-infrared (rest-frame optical) spectroscopy of WLQs reveals that their \ lines are not significantly weaker than those of typical quasars~, in contrast to those of Ansky. Furthermore, summarized the X-ray properties of 32 WLQs and found that they typically possess a hard power-law effective photon index (), as measured from the X-ray stacking spectrum of 14 WLQs. Therefore, WLQs are also highly inconsistent with Ansky in terms of their X-ray and rest-frame UV-to-optical spectral properties.",893,text,Source_34,2510.22211v1
35,"However, the advent of time-domain surveys in recent years has revealed a rich diversity of nuclear transients, the physical mechanisms of which can sometimes be extremely challenging to diagnose. Consequently, some of these events are classified as ambiguous nuclear transients (ANTs; e.g. \citealt{Neustadt2020,Holoien2022}), most of which are outbursts occurring in AGN environments. Among them, we noticed that ASASSN-20hx~\citep{Hinkle2022} also exhibited featureless optical spectra and low-luminosity, slowly evolving light curves throughout its lifetime, which is strikingly similar to Ansky. The persistence of a hard X-ray spectrum both before and after ASASSN-20hx suggests that it probably occurred in an AGN. Based on this, we speculate that ASASSN-20hx shares the same physical origin as Ansky, both being a featureless TDE (see Section~\ref{featureless_TDE}), except that it occurred in an AGN.
","However, the advent of time-domain surveys in recent years has revealed a rich diversity of nuclear transients, the physical mechanisms of which can sometimes be extremely challenging to diagnose. Consequently, some of these events are classified as ambiguous nuclear transients (ANTs; e.g. ), most of which are outbursts occurring in AGN environments. Among them, we noticed that ASASSN-20hx~ also exhibited featureless optical spectra and low-luminosity, slowly evolving light curves throughout its lifetime, which is strikingly similar to Ansky. The persistence of a hard X-ray spectrum both before and after ASASSN-20hx suggests that it probably occurred in an AGN. Based on this, we speculate that ASASSN-20hx shares the same physical origin as Ansky, both being a featureless TDE (see Section~), except that it occurred in an AGN.",836,text,Source_35,2510.22211v1
36,"In this subsection, we will show that the unusual properties observed in Ansky align naturally with the characteristics of featureless TDEs. These are a new population of optical TDEs that are featured by their blue continuum, yet lack the discernible emission lines or spectroscopic features present in the canonical TDE classes~\citep{Hammerstein2023}. Featureless TDEs generally have a higher luminosity, a longer rising time scale, and a more massive black hole than other TDEs~(see Figure~\ref{LCs_compare}). However, Ansky lies at the lower end of luminosity and at the longer end of the rising timescale~\footnote{Note that the short timescale of TDEs in~\citet{Yao2023} may be due to selection bias as they selected TDEs with e-folding rise/decline time of 2--300 days.}. Interestingly, we found that AT2022gri --- the other nearby featureless TDE ---  also exhibits a low luminosity and a long rising timescale that differ markedly from those of other featureless TDEs. 
","In this subsection, we will show that the unusual properties observed in Ansky align naturally with the characteristics of featureless TDEs. These are a new population of optical TDEs that are featured by their blue continuum, yet lack the discernible emission lines or spectroscopic features present in the canonical TDE classes~. Featureless TDEs generally have a higher luminosity, a longer rising time scale, and a more massive black hole than other TDEs~(see Figure~). However, Ansky lies at the lower end of luminosity and at the longer end of the rising timescale~ may be due to selection bias as they selected TDEs with e-folding rise/decline time of 2--300 days.}. Interestingly, we found that AT2022gri --- the other nearby featureless TDE --- also exhibits a low luminosity and a long rising timescale that differ markedly from those of other featureless TDEs.",871,text,Source_36,2510.22211v1
37,"We also collected all available archival HST UV spectra of featureless TDEs, which we present in Figure~\ref{spec_compare}.  Notably, the UV spectrum of Ansky closely resembles those of two nearby featureless TDEs: AT2021ehb \citep{AT2021ehb} and AT2022gri (ID: 17001, PI: Walter Maksym). All three sources display the hallmark of an extremely high-temperature blackbody spectrum, consistent with values derived from optical photometry, and the characteristic of the featureless TDE population \citep{Hammerstein2023}. In addition, their steep UV spectra, lacking broad emission lines, are markedly different from those typically observed in AGNs, as shown for comparison in Figure~\ref{spec_compare}. Another ""X-ray long-lived"" TDE, GSN069, displays emission features indicative of TDEs in a very late stage yet lacks classic AGN emissions~\citep{Shu2018,Miniutti2019,Sheng2021,Guolo2025}. It shares certain similarities with the UV spectra of featureless TDEs, while all four sources clearly deviate from the typical AGNs.
","We also collected all available archival HST UV spectra of featureless TDEs, which we present in Figure~. Notably, the UV spectrum of Ansky closely resembles those of two nearby featureless TDEs: AT2021ehb and AT2022gri (ID: 17001, PI: Walter Maksym). All three sources display the hallmark of an extremely high-temperature blackbody spectrum, consistent with values derived from optical photometry, and the characteristic of the featureless TDE population . In addition, their steep UV spectra, lacking broad emission lines, are markedly different from those typically observed in AGNs, as shown for comparison in Figure~. Another ""X-ray long-lived"" TDE, GSN069, displays emission features indicative of TDEs in a very late stage yet lacks classic AGN emissions~. It shares certain similarities with the UV spectra of featureless TDEs, while all four sources clearly deviate from the typical AGNs.",898,text,Source_37,2510.22211v1
38,"An optically thick reprocessing layer surrounding the inner accretion flow can efficiently thermalize the ionizing radiation, suppressing line formation and producing the nearly blackbody continua observed \citep{Roth2020}. The extreme ionization state of the reprocessing gas may further inhibit bound–bound transitions from H and He, preventing the appearance of broad emission features commonly seen in other TDEs. Such an extreme ionization state can be induced by either a very high irradiating luminosity or a reprocessing envelope with a relatively low column density. Furthermore, any residual line photons generated in the outflow are subject to repeated electron scattering, which erases line contrast, leaving behind a smooth, high-temperature blackbody spectrum with a steep UV slope. Geometric and orientation effects may contribute as well, since the radiation produced from a disk is likely anisotropic, and the emergent optical depth depends on the viewing angle. Taken together, these considerations suggest that featureless TDEs arise from systems with reprocessing layers that are optically and geometrically thick, yet highly ionized, naturally producing spectra that diverge from those of AGNs while remaining consistent with theoretical expectations for TDE emission. Notably, previously identified featureless TDEs generally exhibit high luminosities \citep{Hammerstein2023,Yao2023}, consistent with efficient reprocessing of accretion power into a smooth continuum. In contrast, the recent discovery of several low-luminosity featureless TDEs points to a potential role for geometry-dependent effects in the unified model of \citet{Dai2018}. Detailed modeling will be presented in a subsequent work.
","An optically thick reprocessing layer surrounding the inner accretion flow can efficiently thermalize the ionizing radiation, suppressing line formation and producing the nearly blackbody continua observed . The extreme ionization state of the reprocessing gas may further inhibit bound–bound transitions from H and He, preventing the appearance of broad emission features commonly seen in other TDEs. Such an extreme ionization state can be induced by either a very high irradiating luminosity or a reprocessing envelope with a relatively low column density. Furthermore, any residual line photons generated in the outflow are subject to repeated electron scattering, which erases line contrast, leaving behind a smooth, high-temperature blackbody spectrum with a steep UV slope. Geometric and orientation effects may contribute as well, since the radiation produced from a disk is likely anisotropic, and the emergent optical depth depends on the viewing angle. Taken together, these considerations suggest that featureless TDEs arise from systems with reprocessing layers that are optically and geometrically thick, yet highly ionized, naturally producing spectra that diverge from those of AGNs while remaining consistent with theoretical expectations for TDE emission. Notably, previously identified featureless TDEs generally exhibit high luminosities , consistent with efficient reprocessing of accretion power into a smooth continuum. In contrast, the recent discovery of several low-luminosity featureless TDEs points to a potential role for geometry-dependent effects in the unified model of . Detailed modeling will be presented in a subsequent work.",1661,text,Source_38,2510.22211v1
39,"It is worth noting that Ansky's optical light curves do not decline smoothly, but rather show clear excess variance, which is a key argument for AGN by \citet{J1335+0728}. The most prominent excess can be considered as a rebrightening feature (see Figure~\ref{LCs}), which is actually quite common among optical TDEs~\citep{Yao2023}. Ansky still exhibits excess variance for the remaining short-timescale fluctuations. However, it is difficult to determine how much of this variability is genuine~\footnote{One possibility is that the ZTF forced-photometry pipeline is not fully effective in subtracting the contriution of the host nucleus for nearby extended galaxies.}. For example, variations on a daily timescale in the $g$-band are not synchronized with those in the $r$-band. Similar excess variance can be seen in the $r$-band of AT2022gri, while its $g$-band light curve remains relatively smooth. In the near future, it would be interesting to explore the short-timescale (e.g. hourly to daily) optical variability of TDEs with deeper surveys such as the Legacy Survey of Space and Time (LSST; \citealt{LSST}) and the Wide Field Survey Telescope (WFST; \citealt{WFST}). At this point, we are not considering the excess variance to be a serious issue for the TDE scenario.
","It is worth noting that Ansky's optical light curves do not decline smoothly, but rather show clear excess variance, which is a key argument for AGN by . The most prominent excess can be considered as a rebrightening feature (see Figure~), which is actually quite common among optical TDEs~. Ansky still exhibits excess variance for the remaining short-timescale fluctuations. However, it is difficult to determine how much of this variability is genuine~. For example, variations on a daily timescale in the -band are not synchronized with those in the -band. Similar excess variance can be seen in the -band of AT2022gri, while its -band light curve remains relatively smooth. In the near future, it would be interesting to explore the short-timescale (e.g. hourly to daily) optical variability of TDEs with deeper surveys such as the Legacy Survey of Space and Time (LSST; ) and the Wide Field Survey Telescope (WFST; ). At this point, we are not considering the excess variance to be a serious issue for the TDE scenario.",1025,text,Source_39,2510.22211v1
40,"Although our new evidence from the UV spectrum suggests that Ansky is most likely to be a featureless TDE, its distinctive properties in luminosity and timescale remain puzzling. We explore the possible TDE scenarios that could address these characteristics.
","Although our new evidence from the UV spectrum suggests that Ansky is most likely to be a featureless TDE, its distinctive properties in luminosity and timescale remain puzzling. We explore the possible TDE scenarios that could address these characteristics.",258,text,Source_40,2510.22211v1
41,"It has been suggested that TDEs by intermediate-mass black holes (IMBHs) could have a longer timescale, both due to a longer circularization timescale and super-Eddington phase \citep{Dai2015,Wong2022}.
\citet{Chen2018} have studied the case of a main sequence star disrupted by an IMBH and predicted a $\sim10$ year super-Eddington accretion phase, with the dominant observable radiation peaking in the UV/optical bands with a luminosity of $\sim10^{42}$~\lum\ which is comparable to the slowly decaying blackbody luminosity of Ansky. Remarkably, the recent discovery of EP240222a~\citep{Jin2025}, which is the first off-center IMBH-TDE promptly captured during its X-ray outburst, also revealed a long but faint peak plateau phase. We have checked the outburst location in the HST ACQ image, but found no evidence for an offset origin (see Figure~\ref{HST_image}). A single point source is detected at the center of SDSSJ1335+0728, indicating that the position of Ansky can be constrained to within the sub-pixel resolution of the HST ACQ image. We estimate the offset to be less than 0.025 arcsec, corresponding to approximately 13 pc. Given that the \mbh\ estimated from the host stellar mass is a normal $10^6$~\msun, we think it is less unlikely that the IMBH is located at the center of the galaxy. However, it remains possible that the IMBH is off-center, but that it is too close to be resolved, even with the HST.
","It has been suggested that TDEs by intermediate-mass black holes (IMBHs) could have a longer timescale, both due to a longer circularization timescale and super-Eddington phase . have studied the case of a main sequence star disrupted by an IMBH and predicted a year super-Eddington accretion phase, with the dominant observable radiation peaking in the UV/optical bands with a luminosity of ~\ which is comparable to the slowly decaying blackbody luminosity of Ansky. Remarkably, the recent discovery of EP240222a~, which is the first off-center IMBH-TDE promptly captured during its X-ray outburst, also revealed a long but faint peak plateau phase. We have checked the outburst location in the HST ACQ image, but found no evidence for an offset origin (see Figure~). A single point source is detected at the center of SDSSJ1335+0728, indicating that the position of Ansky can be constrained to within the sub-pixel resolution of the HST ACQ image. We estimate the offset to be less than 0.025 arcsec, corresponding to approximately 13 pc. Given that the \ estimated from the host stellar mass is a normal ~, we think it is less unlikely that the IMBH is located at the center of the galaxy. However, it remains possible that the IMBH is off-center, but that it is too close to be resolved, even with the HST.",1311,text,Source_41,2510.22211v1
42,"The longer evolution time scale can also be explained by the tidal disruption involving a post-main-sequence (post-MS) star. The rising and falling timescales of the TDE light curve depend on the fallback timescale $t_{\rm fb}$ of the stellar debris~\citep{MacLeod2012}:
",The longer evolution time scale can also be explained by the tidal disruption involving a post-main-sequence (post-MS) star. The rising and falling timescales of the TDE light curve depend on the fallback timescale of the stellar debris~:,238,text,Source_42,2510.22211v1
43,"\begin{equation}
t_{\rm fb} \approx 0.11 \beta^{-3} \left( \frac{M_{\rm bh}}{10^6\ M_\odot} \right)^{1/2} \left( \frac{M_\star}{M_\odot} \right)^{-1} \left( \frac{R_\star}{R_\odot} \right)^{3/2} {\rm yr},
\end{equation}","\begin{equation}
t_{\rm fb} \approx 0.11 \beta^{-3} \left( \frac{M_{\rm bh}}{10^6\ M_\odot} \right)^{1/2} \left( \frac{M_\star}{M_\odot} \right)^{-1} \left( \frac{R_\star}{R_\odot} \right)^{3/2} {\rm yr},
\end{equation}",219,text,Source_43,2510.22211v1
44,"where $\beta \equiv r_t/r_p$ is the ratio between tidal radius and the pericenter radius, and $M_\star$ and $R_\star$ are the mass and radius of the disrupted star.
For a post-MS star with $M_\star=1\ M_\odot$ and $R_\star=3\sim10\ R_\odot$, the inferred $t_{\rm fb}$ is $(0.9\sim5) \beta^{-3}$ yr, consistent with the observation of Ansky for a typical $\beta$ value of 1--2.
","where is the ratio between tidal radius and the pericenter radius, and and are the mass and radius of the disrupted star. For a post-MS star with and , the inferred is yr, consistent with the observation of Ansky for a typical value of 1--2.",241,text,Source_44,2510.22211v1
45,"The rising phase of Ansky lasts for about 350 days, which could put further constraint on the radius of the disrupted star and $\beta$. The specific orbital energy of the bound stellar debris is distributed between $\epsilon_{\rm mb}$ and 0. $\epsilon_{\rm mb}$ is the specific orbital energy of the most bounded debris, which is a few times the typical energy spread of the debris $\Delta \epsilon=GM_{\rm bh}R_\star/r_{\rm p}^2$. Adopting the definition of $\beta$, the expression of $\Delta \epsilon$ can be further converted to:
","The rising phase of Ansky lasts for about 350 days, which could put further constraint on the radius of the disrupted star and . The specific orbital energy of the bound stellar debris is distributed between and 0. is the specific orbital energy of the most bounded debris, which is a few times the typical energy spread of the debris . Adopting the definition of , the expression of can be further converted to:",412,text,Source_45,2510.22211v1
46,"\begin{equation}
\Delta \epsilon = 1.92\times10^{17} \beta^{2} \left( \frac{M_{\rm bh}}{10^6\ M_\odot} \right)^{1/3} \left( \frac{M_\star}{M_\odot} \right)^{2/3} \left( \frac{R_\star}{R_\odot} \right)^{-1} \mathrm{erg/g}.
\label{Eq:DeltaE}
\end{equation}","\begin{equation}
\Delta \epsilon = 1.92\times10^{17} \beta^{2} \left( \frac{M_{\rm bh}}{10^6\ M_\odot} \right)^{1/3} \left( \frac{M_\star}{M_\odot} \right)^{2/3} \left( \frac{R_\star}{R_\odot} \right)^{-1} \mathrm{erg/g}.
\label{Eq:DeltaE}
\end{equation}",254,text,Source_46,2510.22211v1
47,"We assumed that the disruption occurs at $t=0$, the TDE begins to shine at $t=P(\epsilon_{\rm mb})$ (orbital period of the most bound debris), and the luminosity reaches its peak at $t=P(\epsilon_{\rm peak})$ (orbital period of the debris responsible for the peak fallback rate). Then the duration of the rising phase is $\Delta t = P(\epsilon_{\rm peak}) - P(\epsilon_{\rm mb})$. Note that to obtain $\Delta t \simeq 350$ days, $P(\epsilon_{\rm peak})$ should be larger than 350 days, because $P(\epsilon_{\rm mb})$ has a positive value. The exact values of $\epsilon_{\rm mb}$ and $\epsilon_{\rm peak}$ should be obtained via hydrodynamical simulation, which is beyond the scope of this paper. Here, we simply take $\epsilon_{\rm peak} = -\Delta \epsilon$ and $M_{\rm bh}=10^{6.42} M_{\odot}$ (derived in Section~\ref{SUBSECT:HostGal}), the condition $P(\epsilon_{\rm peak})>350$ days is translated to $\Delta\epsilon < 8.69\times 10^{16} \mathrm{erg/g}$. Inserting this inequality into equation~\ref{Eq:DeltaE}, we find:
","We assumed that the disruption occurs at , the TDE begins to shine at (orbital period of the most bound debris), and the luminosity reaches its peak at (orbital period of the debris responsible for the peak fallback rate). Then the duration of the rising phase is . Note that to obtain days, should be larger than 350 days, because has a positive value. The exact values of and should be obtained via hydrodynamical simulation, which is beyond the scope of this paper. Here, we simply take and (derived in Section~), the condition days is translated to . Inserting this inequality into equation~, we find:",605,text,Source_47,2510.22211v1
48,"\begin{equation}
\label{Eq:R_requirement}
\frac{R_\star}{R_{\odot}} > 3.04 \beta^2 \left( \frac{M_\star}{M_{\odot}} \right)^{2/3}.
\end{equation}","\begin{equation}
\label{Eq:R_requirement}
\frac{R_\star}{R_{\odot}} > 3.04 \beta^2 \left( \frac{M_\star}{M_{\odot}} \right)^{2/3}.
\end{equation}",145,text,Source_48,2510.22211v1
49,"\noindent
It is evident that the full disruption ($\beta>1$) of a $1~M_{\odot}$ MS star cannot produce a rise phase as long as 350 days. 
Next, we consider the possible $\beta$ value in the disruption of an $1M_{\odot}$ post-MS star by a $10^{6.42} M_{\odot}$ BH, using the condition $\Delta t = 350$ days. Assuming $\epsilon_{\rm mb} = -2\Delta\epsilon$ and $\epsilon_{\rm peak} = -\Delta\epsilon$ (see Figure 6 of~\citet{MacLeod2012} for an example), we find $\beta\simeq0.86$ for $R_\star = 3 R_{\odot}$, and $\beta\simeq1.56$ for $R_\star = 10 R_{\odot}$.
","It is evident that the full disruption () of a MS star cannot produce a rise phase as long as 350 days. Next, we consider the possible value in the disruption of an post-MS star by a BH, using the condition days. Assuming and (see Figure 6 of~ for an example), we find for , and for .",284,text,Source_49,2510.22211v1
